EADARP version 11bb-dirty
ARGS: --ifile=EADARP/instances/l2/a180-3600.txt --repair_max_routes=40 --mh_lfreq=1 --mh_checkit=true --only_single_s_visits=false --seed=1479419931 --mh_titer=300 --odir=EADARP/prunedArcs/a200-4000 --oname=run1
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=-1.0
--ifile=EADARP/instances/l2/a180-3600.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=true
--mh_lfreq=1
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=300
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/prunedArcs/a200-4000
--oname=run1
--only_single_s_visits=false
--repair_max_routes=40
--route_based_ops=0
--seed=1479419931
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/l2/a180-3600.txt, n=3600, n_K=180, S=[7563, 7564, 7565], Q=14.85, n_F=180, γ=0.7, T_plan=1200.0)

T preprocessing time [s]: 6.472
I       iter             best          obj_old          obj_new        time              method info
I          1     100031.00000     103600.00000     100031.00000    102.9870                 con 
I          2      39694.73991     100031.00000      39694.73991    105.1370        drrr_15+rroi 
I          3      39694.73991      39694.73991      39742.17335    108.0570         drrr_15+rrg 
I          4      39683.75389      39694.73991      39683.75389    109.4840        drrr_15+rroi 
I          5      39654.99522      39683.75389      39654.99522    111.1160        drrr_15+rroi 
I          6      39654.99522      39654.99522      39660.55516    112.7580        drrr_15+rrri 
I          7      39654.99522      39654.99522      39660.04549    114.3630        drrr_15+rrri 
I          8      39654.99522      39654.99522      39692.95110    117.4670         drrr_15+rrg 
I          9      39654.99522      39654.99522      39676.14701    118.9510        drrr_15+rrri 
I         10      39654.99522      39654.99522      39675.55367    120.4350        drrr_15+rroi 
I         11      39654.99522      39654.99522      39705.75023    121.8260        drrr_15+rroi 
I         12      39654.99522      39654.99522      39670.74506    123.3770        drrr_15+rroi 
I         13      39654.99522      39654.99522      39682.18651    124.8890        drrr_15+rroi 
I         14      39654.29536      39654.99522      39654.29536    126.5450        drrr_15+rroi 
I         15      39654.29536      39654.29536      39695.68942    129.9230         drrr_15+rrg 
I         16      39654.29536      39654.29536      39666.64293    131.3530        drrr_15+rroi 
I         17      39634.93180      39654.29536      39634.93180    132.8910        drrr_15+rroi 
I         18      39625.38591      39634.93180      39625.38591    136.1500         drrr_15+rrg 
I         19      39625.38591      39625.38591      39637.43483    137.6770        drrr_15+rroi 
I         20      39625.38591      39625.38591      39675.24302    139.1350        drrr_15+rrri 
I         21      39625.38591      39625.38591      39643.03652    142.6480         drrr_15+rrg 
I         22      39625.38591      39625.38591      39637.47710    144.2120        drrr_15+rrri 
I         23      39625.38591      39625.38591      39667.27195    145.5490        drrr_15+rroi 
I         24      39615.53234      39625.38591      39615.53234    147.0600        drrr_15+rroi 
I         25      39615.53234      39615.53234      39638.35126    148.7050        drrr_15+rroi 
I         26      39615.53234      39615.53234      39628.19615    151.9490         drrr_15+rrg 
I         27      39615.53234      39615.53234      39691.70371    155.1050         drrr_15+rrg 
I         28      39615.53234      39615.53234      39622.08168    157.7230         drrr_15+rrg 
I         29      39615.53234      39615.53234      39618.96178    159.0810        drrr_15+rroi 
I         30      39615.53234      39615.53234      39627.28790    160.3170        drrr_15+rrri 
I         31      39615.53234      39615.53234      39637.58642    161.6100        drrr_15+rrri 
I         32      39615.53234      39615.53234      39716.79046    164.4750         drrr_15+rrg 
I         33      39588.15093      39615.53234      39588.15093    167.6220         drrr_15+rrg 
I         34      39588.15093      39588.15093      39668.52301    170.7550         drrr_15+rrg 
I         35      39588.15093      39588.15093      39613.00219    173.7670         drrr_15+rrg 
I         36      39588.15093      39588.15093      39598.54755    177.0810         drrr_15+rrg 
I         37      39588.15093      39588.15093      39658.41675    178.5970        drrr_15+rrri 
I         38      39588.15093      39588.15093      39619.55557    180.1100        drrr_15+rrri 
I         39      39588.15093      39588.15093      39623.37976    181.5980        drrr_15+rrri 
I         40      39588.15093      39588.15093      39591.79092    183.3090        drrr_15+rroi 
I         41      39588.15093      39588.15093      39614.95509    186.3080         drrr_15+rrg 
I         42      39588.15093      39588.15093      39596.59737    189.4310         drrr_15+rrg 
I         43      39588.15093      39588.15093      39607.43588    190.7960        drrr_15+rroi 
I         44      39575.75137      39588.15093      39575.75137    192.1760        drrr_15+rroi 
I         45      39575.75137      39575.75137      39634.11060    195.7420         drrr_15+rrg 
I         46      39575.75137      39575.75137      39586.98218    198.7540         drrr_15+rrg 
I         47      39575.75137      39575.75137      39586.32675    200.0850        drrr_15+rroi 
I         48      39575.75137      39575.75137      39620.96931    201.3990        drrr_15+rrri 
I         49      39575.75137      39575.75137      39579.55273    202.9760        drrr_15+rrri 
I         50      39575.75137      39575.75137      39602.44273    204.3930        drrr_15+rroi 
I         51      39573.26705      39575.75137      39573.26705    206.3200        drrr_15+rrri 
I         52      39573.26705      39573.26705      39576.73943    207.9470        drrr_15+rroi 
I         53      39573.26705      39573.26705      39627.38397    209.3420        drrr_15+rrri 
I         54      39573.26705      39573.26705      39590.50393    210.7750        drrr_15+rroi 
I         55      39573.26705      39573.26705      39605.57660    212.1500        drrr_15+rrri 
I         56      39573.26705      39573.26705      39607.05392    213.5200        drrr_15+rrri 
I         57      39573.26705      39573.26705      39577.52900    214.9240        drrr_15+rroi 
I         58      39573.26705      39573.26705      39600.71416    216.5480        drrr_15+rroi 
I         59      39573.26705      39573.26705      39587.06216    219.6270         drrr_15+rrg 
I         60      39573.26705      39573.26705      39609.35981    220.9300        drrr_15+rroi 
I         61      39573.26705      39573.26705      39607.53443    224.1950         drrr_15+rrg 
I         62      39573.26705      39573.26705      39591.47811    225.5430        drrr_15+rroi 
I         63      39573.26705      39573.26705      39618.23194    227.0090        drrr_15+rrri 
I         64      39573.26705      39573.26705      39636.00667    229.5220         drrr_15+rrg 
I         65      39552.97841      39573.26705      39552.97841    230.9530        drrr_15+rroi 
I         66      39552.97841      39552.97841      39573.29442    232.2590        drrr_15+rroi 
I         67      39533.82560      39552.97841      39533.82560    233.5790        drrr_15+rroi 
I         68      39533.82560      39533.82560      39583.11729    234.8640        drrr_15+rroi 
I         69      39533.82560      39533.82560      39620.95154    238.1970         drrr_15+rrg 
I         70      39533.82560      39533.82560      39555.86724    239.5970        drrr_15+rroi 
I         71      39525.37459      39533.82560      39525.37459    241.0270        drrr_15+rroi 
I         72      39518.06130      39525.37459      39518.06130    244.0380         drrr_15+rrg 
I         73      39518.06130      39518.06130      39566.12535    245.4740        drrr_15+rrri 
I         74      39503.47044      39518.06130      39503.47044    246.7890        drrr_15+rrri 
I         75      39503.47044      39503.47044      39596.52151    249.0840         drrr_15+rrg 
I         76      39503.47044      39503.47044      39515.55240    250.4180        drrr_15+rroi 
I         77      39503.47044      39503.47044      39523.81792    252.0310        drrr_15+rroi 
I         78      39503.47044      39503.47044      39528.33916    253.4690        drrr_15+rrri 
I         79      39503.47044      39503.47044      39567.55884    256.1090         drrr_15+rrg 
I         80      39497.98887      39503.47044      39497.98887    259.2490         drrr_15+rrg 
I         81      39497.98887      39497.98887      39548.70762    261.7030         drrr_15+rrg 
I         82      39497.98887      39497.98887      39529.73686    263.3940        drrr_15+rrri 
I         83      39492.45582      39497.98887      39492.45582    265.0910        drrr_15+rroi 
I         84      39492.45582      39492.45582      39529.19343    266.6870        drrr_15+rroi 
I         85      39492.45582      39492.45582      39526.89244    268.2180        drrr_15+rrri 
I         86      39492.45582      39492.45582      39500.75103    269.5970        drrr_15+rrri 
I         87      39492.45582      39492.45582      39545.12450    271.0560        drrr_15+rroi 
I         88      39492.45582      39492.45582      39511.59730    273.5560         drrr_15+rrg 
I         89      39492.45582      39492.45582      39523.10485    275.0060        drrr_15+rrri 
I         90      39492.45582      39492.45582      39510.39628    276.4330        drrr_15+rroi 
I         91      39484.18242      39492.45582      39484.18242    277.9680        drrr_15+rroi 
I         92      39484.18242      39484.18242      39491.97366    279.3320        drrr_15+rrri 
I         93      39484.18242      39484.18242      39520.39672    282.1680         drrr_15+rrg 
I         94      39484.18242      39484.18242      39507.82655    283.6450        drrr_15+rrri 
I         95      39477.06006      39484.18242      39477.06006    284.9520        drrr_15+rroi 
I         96      39477.06006      39477.06006      39498.75537    286.4430        drrr_15+rrri 
