EADARP version 11bb-dirty
ARGS: --ifile=EADARP/instances/l2/a180-3600.txt --repair_max_routes=40 --mh_lfreq=1 --mh_checkit=true --only_single_s_visits=false --seed=1479419931 --mh_titer=300 --odir=EADARP/prunedArcs/a200-4000 --oname=run10
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=-1.0
--ifile=EADARP/instances/l2/a180-3600.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=true
--mh_lfreq=1
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=300
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/prunedArcs/a200-4000
--oname=run10
--only_single_s_visits=false
--repair_max_routes=40
--route_based_ops=0
--seed=1479419931
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/l2/a180-3600.txt, n=3600, n_K=180, S=[7563, 7564, 7565], Q=14.85, n_F=180, γ=0.7, T_plan=1200.0)

T preprocessing time [s]: 2.56
I       iter             best          obj_old          obj_new        time              method info
I          1      39330.06732     103600.00000      39330.06732     87.8920                 con 
I          2      39330.06732      39330.06732      39342.50525     89.0490        drrr_15+rrri 
I          3      39330.06732      39330.06732      39343.49176     90.0320        drrr_15+rroi 
I          4      39328.57499      39330.06732      39328.57499     92.5070         drrr_15+rrg 
I          5      39328.21769      39328.57499      39328.21769     93.7360        drrr_15+rrri 
I          6      39320.97777      39328.21769      39320.97777     94.9860        drrr_15+rrri 
I          7      39320.97777      39320.97777      39321.66140     97.3710         drrr_15+rrg 
I          8      39320.97777      39320.97777      39324.78104     98.4720        drrr_15+rroi 
I          9      39320.24489      39320.97777      39320.24489    101.2380         drrr_15+rrg 
I         10      39320.24489      39320.24489      39376.46014    102.4130        drrr_15+rroi 
I         11      39320.24489      39320.24489      39348.09347    103.6840        drrr_15+rrri 
I         12      39301.16075      39320.24489      39301.16075    104.8350        drrr_15+rrri 
I         13      39301.16075      39301.16075      39319.57453    106.1370        drrr_15+rrri 
I         14      39301.16075      39301.16075      39313.04411    107.3030        drrr_15+rrri 
I         15      39301.16075      39301.16075      39354.81069    108.4390        drrr_15+rrri 
I         16      39301.16075      39301.16075      39312.58631    109.6350        drrr_15+rrri 
I         17      39285.05198      39301.16075      39285.05198    110.9270        drrr_15+rrri 
I         18      39285.05198      39285.05198      39296.12303    112.1200        drrr_15+rroi 
I         19      39285.05198      39285.05198      39287.37596    113.3150        drrr_15+rroi 
I         20      39285.05198      39285.05198      39297.78843    114.4900        drrr_15+rroi 
I         21      39285.05198      39285.05198      39339.99932    115.6860        drrr_15+rroi 
I         22      39264.02081      39285.05198      39264.02081    118.1280         drrr_15+rrg 
I         23      39264.02081      39264.02081      39280.29252    119.5340        drrr_15+rrri 
I         24      39264.02081      39264.02081      39265.38007    120.7450        drrr_15+rroi 
I         25      39264.02081      39264.02081      39277.28936    123.1880         drrr_15+rrg 
